id_spatial,long,lat,elev,date_collect,habitat,replica,type,cota
1,-3.4312598,36.95254856,1788.531,2017-04-25 12:19:00,Robledal,R3,Sensor,1750
2,-3.431373344,36.95252553,1790.915,2017-04-25 12:13:00,Claro,R3,Sensor,1750
3,-3.431066137,36.95245904,1784.942,2017-04-25 11:44:00,Robledal,R2,Sensor,1750
4,-3.430925061,36.95244863,1783.476,2017-04-25 11:41:00,Claro,R2,Sensor,1750
5,-3.430238445,36.95254056,1785.511,2017-04-25 11:14:00,Robledal,R1,Sensor,1750
6,-3.430370765,36.95250584,1770.481,2017-04-25 11:06:00,Claro,R1,Sensor,1750
7,-3.433330087,36.95909495,1930.92,2017-05-12 12:51:00,Claro,R1,Sensor,1900
8,-3.433447437,36.95929283,1934.034,2017-05-12 12:44:00,Piornal,R1,Sensor,1900
9,-3.431831489,36.95998733,1944.206,2017-05-12 13:47:00,Claro,R3,Sensor,1900
10,-3.431815368,36.96001075,1935.326,2017-05-12 13:41:00,Robledal,R3,Sensor,1900
11,-3.431916646,36.95996096,1937.89,2017-05-12 13:39:00,Piornal,R3,Sensor,1900
12,-3.432221168,36.959369,1921.838,2017-05-12 13:22:00,Robledal,R2,Sensor,1900
13,-3.432211518,36.95924568,1928.293,2017-05-12 13:11:00,Piornal,R2,Sensor,1900
14,-3.432336037,36.95925713,1923.196,2017-05-12 13:09:00,Claro,R2,Sensor,1900
15,-3.433097038,36.95899863,1934.308,2017-05-12 12:59:00,Robledal,R1,Sensor,1900